Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
Asus,Intel Core i5-10300H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22290000.0
Asus,AMD Ryzen 7-3750H,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19090000.0
Acer,AMD Ryzen 7-3750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,19790000.0
MSI,AMD Ryzen 5-4600H,8 GB,3200 MHz,512.0,0.0,AMD Radeon RX 5300M,3,15.6, 1920 x 1080,1.96,19490000.0
Acer,AMD Ryzen 5-3550H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,18790000.0
Asus,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19990000.0
HP,Intel Core i5-10300H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,22290000.0
Dell,Intel Core i5-10300H,8 GB,2933 MHz,256.0,1000.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.34,21990000.0
ASUS,AMD Ryzen 5-3550H,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.14,18090000.0
Asus,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.42,22590000.0
MSI,Intel Core i7-10750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,24590000.0
MSI,Intel Core i5-10300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650 Max-Q,4,15.6, 1920 x 1080,1.86,21190000.0
HP,AMD Ryzen 5-4600H,8 GB,3200 MHz,128.0,1000.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000.0
HP,AMD Ryzen 5-3550H,8 GB,2400 MHz,128.0,1000.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000.0
Lenovo,Intel Core i7-9750H,8 GB,2666 MHz,1000.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,26790000.0
Asus,AMD Ryzen 7-4800H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,23690000.0
Acer,Intel Core i5-9300H,8 GB,2400 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,2.3,21790000.0
MTXT,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650 Max-Q,4,15.6, 1920 x 1080,1.86,18690000.0
Asus,AMD Ryzen 5-4600H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22190000.0
ACER,AMD Ryzen 7-3750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.1,19990000.0
HP,Intel Core i3-8145U,4 GB,2400 MHz,0.0,500.0,On board,0,14.0, 1920 x 1080,1.53,10690000.0
Acer,Intel Core i3-1005G1,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.7,9890000.0
Lenovo,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.85,9990000.0
Acer,AMD Ryzen 3-3250U,4 GB,2400 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.7,10290000.0
Lenovo,Intel Core i3-8130U,4 GB,2133 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.85,10290000.0
Dell,Intel Core i7-10750H,16 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 3840 x 2400,2.05,61990000.0
MacBook,Intel Core i7-9th-gen,16 GB,2666 MHz,512.0,0.0,AMD Radeon Pro 5300M,4,16.0, 3072 x 1920,2,59990000.0
MacBook,Intel Core i5-8th-gen,8 GB,2133 MHz,512.0,0.0,On board,0,13.3, 2560 x 1600,1.37,51990000.0
